	cusip	investmentDiscretion	nameOfIssuer	shrsOrPrnAmt	titleOfClass	value	votingAuthority
0	G0457F107	SOLE	ARCOS DORADOS HOLDINGS INC	['[sshPrnamt,3060500]', '[sshPrnamtType,SH]']	SHS CLASS -A -	9518	['[Sole,3060500]', '[Shared,0]', '[None,0]']
1	05329W102	SOLE	AUTONATION INC	['[sshPrnamt,1898716]', '[sshPrnamtType,SH]']	COM	113277	['[Sole,1898716]', '[Shared,0]', '[None,0]']
2	084670702	SOLE	BERKSHIRE HATHAWAY INC DEL	['[sshPrnamt,74381548]', '[sshPrnamtType,SH]']	CL B NEW	9821340	['[Sole,74381548]', '[Shared,0]', '[None,0]']
3	136375102	SOLE	CANADIAN NATL RY CO	['[sshPrnamt,17126874]', '[sshPrnamtType,SH]']	COM	957050	['[Sole,17126874]', '[Shared,0]', '[None,0]']
4	149123101	SOLE	CATERPILLAR INC DEL	['[sshPrnamt,11260857]', '[sshPrnamtType,SH]']	COM	765288	['[Sole,11260857]', '[Shared,0]', '[None,0]']
5	191241108	SOLE	COCA COLA FEMSA SAB DE CV	['[sshPrnamt,6214719]', '[sshPrnamtType,SH]']	SPON ADR REP L	440064	['[Sole,6214719]', '[Shared,0]', '[None,0]']
6	22822V101	SOLE	CROWN CASTLE INTL CORP NEW	['[sshPrnamt,5332900]', '[sshPrnamtType,SH]']	COM	461029	['[Sole,5332900]', '[Shared,0]', '[None,0]']
7	278865100	SOLE	ECOLAB INC	['[sshPrnamt,4366425]', '[sshPrnamtType,SH]']	COM	499432	['[Sole,4366425]', '[Shared,0]', '[None,0]']
8	31428X106	SOLE	FEDEX CORP	['[sshPrnamt,3024999]', '[sshPrnamtType,SH]']	COM	450695	['[Sole,3024999]', '[Shared,0]', '[None,0]']
9	40049J206	SOLE	GRUPO TELEVISA SA	['[sshPrnamt,16879103]', '[sshPrnamtType,SH]']	SPON ADR REP ORD	459280	['[Sole,16879103]', '[Shared,0]', '[None,0]']
10	G5480U104	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,2119515]', '[sshPrnamtType,SH]']	SHS CL A	89783	['[Sole,2119515]', '[Shared,0]', '[None,0]']
11	G5480U120	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,3639349]', '[sshPrnamtType,SH]']	SHS CL C	148376	['[Sole,3639349]', '[Shared,0]', '[None,0]']
12	G5480U138	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,105975]', '[sshPrnamtType,SH]']	LILAC SHS CL A	4384	['[Sole,105975]', '[Shared,0]', '[None,0]']
13	G5480U153	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,181967]', '[sshPrnamtType,SH]']	LILAC SHS CL C	7825	['[Sole,181967]', '[Shared,0]', '[None,0]']
14	911312106	SOLE	UNITED PARCEL SERVICE INC	['[sshPrnamt,4525329]', '[sshPrnamtType,SH]']	CL B	435472	['[Sole,4525329]', '[Shared,0]', '[None,0]']
15	931427108	SOLE	WALGREENS BOOTS ALLIANCE INC	['[sshPrnamt,3475398]', '[sshPrnamtType,SH]']	COM	295948	['[Sole,3475398]', '[Shared,0]', '[None,0]']
16	931142103	SOLE	WAL-MART STORES INC	['[sshPrnamt,11603000]', '[sshPrnamtType,SH]']	COM	711264	['[Sole,11603000]', '[Shared,0]', '[None,0]']
17	94106L109	SOLE	WASTE MGMT INC DEL	['[sshPrnamt,18633672]', '[sshPrnamtType,SH]']	COM	994479	['[Sole,18633672]', '[Shared,0]', '[None,0]']
