	cusip	investmentDiscretion	nameOfIssuer	shrsOrPrnAmt	titleOfClass	value	votingAuthority
0	05329W102	SOLE	AUTONATION INC	['[sshPrnamt,1898716]', '[sshPrnamtType,SH]']	COM	82385	['[Sole,1898716]', '[Shared,0]', '[None,0]']
1	084670702	SOLE	BERKSHIRE HATHAWAY INC DEL	['[sshPrnamt,74581373]', '[sshPrnamtType,SH]']	CL B NEW	8347147	['[Sole,74581373]', '[Shared,0]', '[None,0]']
2	055622104	SOLE	BP PLC	['[sshPrnamt,7133001]', '[sshPrnamtType,SH]']	SPONSORED ADR	297731	['[Sole,7133001]', '[Shared,0]', '[None,0]']
3	136375102	SOLE	CANADIAN NATL RY CO	['[sshPrnamt,8563437]', '[sshPrnamtType,SH]']	COM	832966	['[Sole,8563437]', '[Shared,0]', '[None,0]']
4	149123101	SOLE	CATERPILLAR INC DEL	['[sshPrnamt,10760857]', '[sshPrnamtType,SH]']	COM	887663	['[Sole,10760857]', '[Shared,0]', '[None,0]']
5	191216100	SOLE	COCA COLA CO	['[sshPrnamt,34002000]', '[sshPrnamtType,SH]']	COM	1363820	['[Sole,34002000]', '[Shared,0]', '[None,0]']
6	191241108	SOLE	COCA COLA FEMSA SAB DE CV	['[sshPrnamt,6214719]', '[sshPrnamtType,SH]']	SPON ADR REP L	871863	['[Sole,6214719]', '[Shared,0]', '[None,0]']
7	228227104	SOLE	CROWN CASTLE INTL CORP	['[sshPrnamt,5332900]', '[sshPrnamtType,SH]']	COM	386049	['[Sole,5332900]', '[Shared,0]', '[None,0]']
8	252603105	SOLE	DIAMOND FOODS INC	['[sshPrnamt,441163]', '[sshPrnamtType,SH]']	COM	9154	['[Sole,441163]', '[Shared,0]', '[None,0]']
9	278865100	SOLE	ECOLAB INC	['[sshPrnamt,4366425]', '[sshPrnamtType,SH]']	COM	371976	['[Sole,4366425]', '[Shared,0]', '[None,0]']
10	30231G102	SOLE	EXXON MOBIL CORP	['[sshPrnamt,7643858]', '[sshPrnamtType,SH]']	COM	690623	['[Sole,7643858]', '[Shared,0]', '[None,0]']
11	31428X106	SOLE	FEDEX CORP	['[sshPrnamt,3024999]', '[sshPrnamtType,SH]']	COM	298204	['[Sole,3024999]', '[Shared,0]', '[None,0]']
12	40049J206	SOLE	GRUPO TELEVISA SA	['[sshPrnamt,16879103]', '[sshPrnamtType,SH]']	SPON ADR REP ORD	419277	['[Sole,16879103]', '[Shared,0]', '[None,0]']
13	G5480U104	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,2119515]', '[sshPrnamtType,SH]']	SHS CL A	157014	['[Sole,2119515]', '[Shared,0]', '[None,0]']
14	G5480U120	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,706507]', '[sshPrnamtType,SH]']	SHS CL C	47965	['[Sole,706507]', '[Shared,0]', '[None,0]']
15	580135101	SOLE	MCDONALD S CORP	['[sshPrnamt,9872500]', '[sshPrnamtType,SH]']	COM	977378	['[Sole,9872500]', '[Shared,0]', '[None,0]']
16	742718109	SOLE	PROCTER & GAMBLE CO	['[sshPrnamt,1500000]', '[sshPrnamtType,SH]']	COM	115485	['[Sole,1500000]', '[Shared,0]', '[None,0]']
17	760759100	SOLE	REPUBLIC SVCS INC	['[sshPrnamt,1350000]', '[sshPrnamtType,SH]']	COM	45819	['[Sole,1350000]', '[Shared,0]', '[None,0]']
18	892331307	SOLE	TOYOTA MOTOR CORP	['[sshPrnamt,153300]', '[sshPrnamtType,SH]']	SP ADR REP2COM	18497	['[Sole,153300]', '[Shared,0]', '[None,0]']
19	931142103	SOLE	WAL-MART STORES INC	['[sshPrnamt,11103000]', '[sshPrnamtType,SH]']	COM	827062	['[Sole,11103000]', '[Shared,0]', '[None,0]']
20	94106L109	SOLE	WASTE MGMT INC DEL	['[sshPrnamt,18633672]', '[sshPrnamtType,SH]']	COM	751496	['[Sole,18633672]', '[Shared,0]', '[None,0]']
