	cusip	investmentDiscretion	nameOfIssuer	shrsOrPrnAmt	titleOfClass	value	votingAuthority
0	G0457F107	SOLE	ARCOS DORADOS HOLDINGS INC	['[sshPrnamt,3060500]', '[sshPrnamtType,SH]']	SHS CLASS -A -	16557	['[Sole,3060500]', '[Shared,0]', '[None,0]']
1	05329W102	SOLE	AUTONATION INC	['[sshPrnamt,1898716]', '[sshPrnamtType,SH]']	COM	114701	['[Sole,1898716]', '[Shared,0]', '[None,0]']
2	084670702	SOLE	BERKSHIRE HATHAWAY INC DEL	['[sshPrnamt,78625314]', '[sshPrnamtType,SH]']	CL B NEW	11805591	['[Sole,78625314]', '[Shared,0]', '[None,0]']
3	055622104	SOLE	BP PLC	['[sshPrnamt,7405614]', '[sshPrnamtType,SH]']	SPONSORED ADR	282302	['[Sole,7405614]', '[Shared,0]', '[None,0]']
4	136375102	SOLE	CANADIAN NATL RY CO	['[sshPrnamt,17126874]', '[sshPrnamtType,SH]']	COM	1180213	['[Sole,17126874]', '[Shared,0]', '[None,0]']
5	149123101	SOLE	CATERPILLAR INC DEL	['[sshPrnamt,11260857]', '[sshPrnamtType,SH]']	COM	1030706	['[Sole,11260857]', '[Shared,0]', '[None,0]']
6	191241108	SOLE	COCA COLA FEMSA SAB DE CV	['[sshPrnamt,6214719]', '[sshPrnamtType,SH]']	SPON ADR REP L	537697	['[Sole,6214719]', '[Shared,0]', '[None,0]']
7	22822V101	SOLE	CROWN CASTLE INTL CORP NEW	['[sshPrnamt,5332900]', '[sshPrnamtType,SH]']	COM	419699	['[Sole,5332900]', '[Shared,0]', '[None,0]']
8	252603105	SOLE	DIAMOND FOODS INC	['[sshPrnamt,10412]', '[sshPrnamtType,SH]']	COM	294	['[Sole,10412]', '[Shared,0]', '[None,0]']
9	278865100	SOLE	ECOLAB INC	['[sshPrnamt,4366425]', '[sshPrnamtType,SH]']	COM	456379	['[Sole,4366425]', '[Shared,0]', '[None,0]']
10	31428X106	SOLE	FEDEX CORP	['[sshPrnamt,3024999]', '[sshPrnamtType,SH]']	COM	525321	['[Sole,3024999]', '[Shared,0]', '[None,0]']
11	40049J206	SOLE	GRUPO TELEVISA SA	['[sshPrnamt,16879103]', '[sshPrnamtType,SH]']	SPON ADR REP ORD	574902	['[Sole,16879103]', '[Shared,0]', '[None,0]']
12	G5480U104	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,2119515]', '[sshPrnamtType,SH]']	SHS CL A	106410	['[Sole,2119515]', '[Shared,0]', '[None,0]']
13	G5480U120	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,3532529]', '[sshPrnamtType,SH]']	SHS CL C	170656	['[Sole,3532529]', '[Shared,0]', '[None,0]']
14	760759100	SOLE	REPUBLIC SVCS INC	['[sshPrnamt,1350000]', '[sshPrnamtType,SH]']	COM	54338	['[Sole,1350000]', '[Shared,0]', '[None,0]']
15	911312106	SOLE	UNITED PARCEL SERVICE INC	['[sshPrnamt,4525329]', '[sshPrnamtType,SH]']	CL B	503081	['[Sole,4525329]', '[Shared,0]', '[None,0]']
16	931142103	SOLE	WAL-MART STORES INC	['[sshPrnamt,11603000]', '[sshPrnamtType,SH]']	COM	996466	['[Sole,11603000]', '[Shared,0]', '[None,0]']
17	931427108	SOLE	WALGREENS BOOTS ALLIANCE INC	['[sshPrnamt,3475398]', '[sshPrnamtType,SH]']	COM	264825	['[Sole,3475398]', '[Shared,0]', '[None,0]']
18	94106L109	SOLE	WASTE MGMT INC DEL	['[sshPrnamt,18633672]', '[sshPrnamtType,SH]']	COM	956280	['[Sole,18633672]', '[Shared,0]', '[None,0]']
