	cusip	investmentDiscretion	nameOfIssuer	shrsOrPrnAmt	titleOfClass	value	votingAuthority
0	05329W102	SOLE	AUTONATION INC	['[sshPrnamt,1898716]', '[sshPrnamtType,SH]']	COM	94347	['[Sole,1898716]', '[Shared,0]', '[None,0]']
1	084670702	SOLE	BERKSHIRE HATHAWAY INC DEL	['[sshPrnamt,82039804]', '[sshPrnamtType,SH]']	CL B NEW	9726639	['[Sole,82039804]', '[Shared,0]', '[None,0]']
2	055622104	SOLE	BP PLC	['[sshPrnamt,7315267]', '[sshPrnamtType,SH]']	SPONSORED ADR	355595	['[Sole,7315267]', '[Shared,0]', '[None,0]']
3	136375102	SOLE	CANADIAN NATL RY CO	['[sshPrnamt,17126874]', '[sshPrnamtType,SH]']	COM	976574	['[Sole,17126874]', '[Shared,0]', '[None,0]']
4	149123101	SOLE	CATERPILLAR INC DEL	['[sshPrnamt,11260857]', '[sshPrnamtType,SH]']	COM	1022598	['[Sole,11260857]', '[Shared,0]', '[None,0]']
5	191216100	SOLE	COCA COLA CO	['[sshPrnamt,34002000]', '[sshPrnamtType,SH]']	COM	1404623	['[Sole,34002000]', '[Shared,0]', '[None,0]']
6	191241108	SOLE	COCA COLA FEMSA SAB DE CV	['[sshPrnamt,6214719]', '[sshPrnamtType,SH]']	SPON ADR REP L	756766	['[Sole,6214719]', '[Shared,0]', '[None,0]']
7	228227104	SOLE	CROWN CASTLE INTL CORP	['[sshPrnamt,5332900]', '[sshPrnamtType,SH]']	COM	391595	['[Sole,5332900]', '[Shared,0]', '[None,0]']
8	278865100	SOLE	ECOLAB INC	['[sshPrnamt,4366425]', '[sshPrnamtType,SH]']	COM	455287	['[Sole,4366425]', '[Shared,0]', '[None,0]']
9	30231G102	SOLE	EXXON MOBIL CORP	['[sshPrnamt,8143858]', '[sshPrnamtType,SH]']	COM	824158	['[Sole,8143858]', '[Shared,0]', '[None,0]']
10	31428X106	SOLE	FEDEX CORP	['[sshPrnamt,3024999]', '[sshPrnamtType,SH]']	COM	434904	['[Sole,3024999]', '[Shared,0]', '[None,0]']
11	40049J206	SOLE	GRUPO TELEVISA SA	['[sshPrnamt,16879103]', '[sshPrnamtType,SH]']	SPON ADR REP ORD	510762	['[Sole,16879103]', '[Shared,0]', '[None,0]']
12	G5480U104	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,2119515]', '[sshPrnamtType,SH]']	SHS CL A	188616	['[Sole,2119515]', '[Shared,0]', '[None,0]']
13	G5480U120	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,706507]', '[sshPrnamtType,SH]']	SHS CL C	59573	['[Sole,706507]', '[Shared,0]', '[None,0]']
14	580135101	SOLE	MCDONALD S CORP	['[sshPrnamt,10872500]', '[sshPrnamtType,SH]']	COM	1054959	['[Sole,10872500]', '[Shared,0]', '[None,0]']
15	760759100	SOLE	REPUBLIC SVCS INC	['[sshPrnamt,1350000]', '[sshPrnamtType,SH]']	COM	44820	['[Sole,1350000]', '[Shared,0]', '[None,0]']
16	931142103	SOLE	WAL-MART STORES INC	['[sshPrnamt,11603000]', '[sshPrnamtType,SH]']	COM	913040	['[Sole,11603000]', '[Shared,0]', '[None,0]']
17	94106L109	SOLE	WASTE MANAGEMENT INC DEL	['[sshPrnamt,18633672]', '[sshPrnamtType,SH]']	COM	836093	['[Sole,18633672]', '[Shared,0]', '[None,0]']
