	cusip	investmentDiscretion	nameOfIssuer	shrsOrPrnAmt	titleOfClass	value	votingAuthority
0	009158106	SOLE	AIR PRODS & CHEMS INC	['[sshPrnamt,963279]', '[sshPrnamtType,SH]']	COM	102657	['[Sole,963279]', '[Shared,0]', '[None,0]']
1	05329W102	SOLE	AUTONATION INC	['[sshPrnamt,1898716]', '[sshPrnamtType,SH]']	COM	99056	['[Sole,1898716]', '[Shared,0]', '[None,0]']
2	084670702	SOLE	BERKSHIRE HATHAWAY INC DEL	['[sshPrnamt,87039804]', '[sshPrnamtType,SH]']	CL B NEW	9879888	['[Sole,87039804]', '[Shared,0]', '[None,0]']
3	055622104	SOLE	BP PLC	['[sshPrnamt,7226278]', '[sshPrnamtType,SH]']	SPONSORED ADR	303720	['[Sole,7226278]', '[Shared,0]', '[None,0]']
4	136375102	SOLE	CANADIAN NATL RY CO	['[sshPrnamt,8563437]', '[sshPrnamtType,SH]']	COM	868076	['[Sole,8563437]', '[Shared,0]', '[None,0]']
5	149123101	SOLE	CATERPILLAR INC DEL	['[sshPrnamt,10760857]', '[sshPrnamtType,SH]']	COM	897133	['[Sole,10760857]', '[Shared,0]', '[None,0]']
6	191216100	SOLE	COCA COLA CO	['[sshPrnamt,34002000]', '[sshPrnamtType,SH]']	COM	1287996	['[Sole,34002000]', '[Shared,0]', '[None,0]']
7	191241108	SOLE	COCA COLA FEMSA SAB DE CV	['[sshPrnamt,6214719]', '[sshPrnamtType,SH]']	SPON ADR REP L	782930	['[Sole,6214719]', '[Shared,0]', '[None,0]']
8	228227104	SOLE	CROWN CASTLE INTL CORP	['[sshPrnamt,5332900]', '[sshPrnamtType,SH]']	COM	389462	['[Sole,5332900]', '[Shared,0]', '[None,0]']
9	252603105	SOLE	DIAMOND FOODS INC	['[sshPrnamt,441163]', '[sshPrnamtType,SH]']	COM	10403	['[Sole,441163]', '[Shared,0]', '[None,0]']
10	278865100	SOLE	ECOLAB INC	['[sshPrnamt,4366425]', '[sshPrnamtType,SH]']	COM	431228	['[Sole,4366425]', '[Shared,0]', '[None,0]']
11	30231G102	SOLE	EXXON MOBIL CORP	['[sshPrnamt,7643858]', '[sshPrnamtType,SH]']	COM	657678	['[Sole,7643858]', '[Shared,0]', '[None,0]']
12	31428X106	SOLE	FEDEX CORP	['[sshPrnamt,3024999]', '[sshPrnamtType,SH]']	COM	345183	['[Sole,3024999]', '[Shared,0]', '[None,0]']
13	40049J206	SOLE	GRUPO TELEVISA SA	['[sshPrnamt,16879103]', '[sshPrnamtType,SH]']	SPON ADR REP ORD	471771	['[Sole,16879103]', '[Shared,0]', '[None,0]']
14	G5480U104	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,2119515]', '[sshPrnamtType,SH]']	SHS CL A	168184	['[Sole,2119515]', '[Shared,0]', '[None,0]']
15	G5480U120	SOLE	LIBERTY GLOBAL PLC	['[sshPrnamt,706507]', '[sshPrnamtType,SH]']	SHS CL C	53292	['[Sole,706507]', '[Shared,0]', '[None,0]']
16	580135101	SOLE	MCDONALDS CORP	['[sshPrnamt,9872500]', '[sshPrnamtType,SH]']	COM	949833	['[Sole,9872500]', '[Shared,0]', '[None,0]']
17	742718109	SOLE	PROCTER & GAMBLE CO	['[sshPrnamt,1500000]', '[sshPrnamtType,SH]']	COM	113385	['[Sole,1500000]', '[Shared,0]', '[None,0]']
18	760759100	SOLE	REPUBLIC SVCS INC	['[sshPrnamt,1350000]', '[sshPrnamtType,SH]']	COM	45036	['[Sole,1350000]', '[Shared,0]', '[None,0]']
19	892331307	SOLE	TOYOTA MOTOR CORP	['[sshPrnamt,153300]', '[sshPrnamtType,SH]']	SP ADR REP2COM	19627	['[Sole,153300]', '[Shared,0]', '[None,0]']
20	931142103	SOLE	WAL-MART STORES INC	['[sshPrnamt,11103000]', '[sshPrnamtType,SH]']	COM	821178	['[Sole,11103000]', '[Shared,0]', '[None,0]']
21	94106L109	SOLE	WASTE MGMT INC DEL	['[sshPrnamt,18633672]', '[sshPrnamtType,SH]']	COM	768453	['[Sole,18633672]', '[Shared,0]', '[None,0]']
